Facility, stories, videos, photos, notes, reactions, contributors, points
Trout Creek Community Centre - ON,527,2,1458,617,36738,826,47019
Sackville Arena (LDRA) - NS,429,0,1360,433,18408,735,27211
Bashaw Arena - AB,267,0,507,268,12279,399,16738
Pete Knight Arena - AB,233,1,740,291,11788,426,16639
Honeywood Arena - ON,250,24,1036,239,8930,488,15017
Aréna Saint-Boniface - QC,244,1,768,421,8567,559,13742
Middleton District Arena - NS,178,0,400,226,5050,341,8256
Redvers rec center - SK,77,0,231,102,4941,153,6506
Ivor MacDonald Memorial Arena - NS,69,0,237,116,2996,202,4513
Centre Sportif Normandin - QC,203,2,223,175,867,317,3761
North Hastings Community Centre - ON,61,0,133,45,2453,82,3507
Kaetlyn Osmond Arena - NL,119,0,186,70,1580,176,3431
Rolling Hills Arena - AB,87,0,155,79,1201,132,2615
Fox Valley Skating Arena - SK,76,1,114,53,1384,98,2549
Big River Arena - SK,46,0,140,57,1301,110,2238
St. Isidore Recreation Centre - ON,21,1,131,31,1223,53,1867
Oxbow Community Arena - SK,51,0,36,51,994,56,1663
Don Cruickshank Memorial Arena - BC,32,0,165,29,805,75,1649
Veterans Memorial Sports Complex - MB,32,1,99,31,779,50,1437
Haldimand Community Memorial Arena - ON,44,0,96,49,638,85,1415
Arborg & District Arena - MB,61,0,130,94,99,128,1193
Delburne AG Arena - AB,28,0,57,21,700,44,1172
Riverton Arena - MB,39,0,53,31,572,55,1152
Petitcodiac Arena - NB,45,0,79,23,300,72,1010
Longlac Sportsplex - ON,23,0,101,22,448,38,1003
Athens Community Centre Centre 76 - ON,22,0,46,28,573,45,959
Bill Chaplin Arena - NL,10,1,54,26,532,39,830
Ron Gorr Memorial Arena - AB,24,0,52,26,382,50,804
Centre Sportif Charles-Edouard-Boucher - QC,23,0,144,97,19,115,778
North Peace Arena - BC,30,0,61,23,199,64,705
La Glace Recreation Centre - AB,27,0,72,29,142,46,657
Greenwood Arena - ON,29,0,47,31,140,63,602
8th Hussars Sports Center - NB,25,0,40,16,189,46,575
Frank Crane Arena - BC,19,0,97,26,52,53,559
Unity Parc Arena - NL,20,0,39,18,202,27,537
Elm Creek Skating Rink - MB,11,0,36,18,301,30,537
Springdale Stadium and Curling Club - NL,22,0,43,13,160,32,522
Kinistino sports complex - SK,13,0,68,19,166,35,519
Kingston Memorial Centre - ON,20,0,42,15,147,28,488
Cupar Memorial Rink - SK,9,0,48,15,216,30,465
Goulds Arena - NL,7,0,50,13,216,20,449
Brooke-Alvinston-Inwood Community Centre Complex - ON,18,0,30,16,161,31,447
South Courtice Arena - ON,7,0,40,9,237,18,436
John Levi Community Centre - ON,8,2,60,18,135,41,433
Marmora Arena - ON,11,0,28,15,206,24,415
Kaslo arena - BC,14,0,43,9,92,23,370
Redwood Meadows Arena - AB,15,2,49,12,22,27,351
Cremona Ag Society Community Arena - AB,11,0,51,13,66,22,342
Sam Ault Arena - ON,11,0,33,20,104,35,333
Walkerton Community Centre - ON,6,0,43,14,123,25,326
Irma Arena - AB,13,0,57,9,12,23,322
Moosonee Arena - ON,15,0,31,8,65,21,316
Arena De Clarence Creek - ON,13,0,38,18,47,34,309
Eleanor Pew Memorial Arena - NS,12,0,35,11,67,20,303
Aréna Joannie Rochette - QC,1,0,53,12,99,22,280
I J Coady Memorial Arena - ON,8,0,35,8,84,17,277
Bienfait Memorial Arena - SK,6,0,61,14,0,25,257
Coldwater Arena - ON,13,0,17,10,64,19,255
Civic Centre Arena - ON,7,0,23,14,99,21,252
Jim Ciccone Civic Centre - BC,6,2,30,14,45,26,229
Centre récréatif de Donnacona - QC,8,0,27,22,40,30,223
Memorial Community Centre Arena - AB,10,0,33,11,8,17,218
Ville De Bouctouche Forum - NB,15,0,8,11,26,21,211
Sangudo Arena - AB,7,0,22,9,59,17,204
Wilfred T Lipton Arena - MB,9,0,17,11,44,16,196
Aréna Jean Rougeau - QC,6,0,34,12,15,17,189
Hespeler Memorial Arena - ON,6,0,22,6,56,14,188
Centre récréatif de Blanc-Sablon - QC,4,0,32,2,38,11,176
Orville Acres Arena - MB,7,0,27,9,15,15,175
Kings Arrow Arena - NB,9,0,19,12,13,20,172
Archie Miller Arena - AB,8,0,26,10,1,21,169
River Valley Civic Centre - NB,7,0,18,7,37,13,168
St Boniface - QC,4,0,18,14,47,17,155
Al Lawrence Memorial Arena - BC,7,0,16,3,31,10,152
Jus Jordan Arena - ON,9,0,13,9,4,19,142
Grandview Agricultural Community Centre - MB,7,0,15,3,11,10,129
Eliyahu Wellness Centre Canada Games Place Place des Jeux du Canada - PE,4,0,5,1,72,6,128
Saxon Family Community Complex - SK,9,0,8,3,6,12,123
Kyle Community Sports Centre - SK,3,0,17,4,33,10,118
Soo Pee Wee Arena - ON,7,0,11,5,8,11,116
Katelynn Osmond Arena - NL,8,0,9,3,5,13,115
Beausejour Sportsplex - MB,5,0,12,4,22,9,112
Manitouwadge arena  - ON,4,0,21,5,2,11,110
Kipsigak Arena - NU,7,0,12,3,0,15,109
Manvers Arena & Community Centre - ON,5,0,13,2,16,7,107
Clavet Community Arena - SK,4,0,16,4,11,6,103
Inch Park Arena - ON,2,0,18,6,18,11,98
Centre Sportif C E Boucher - QC,5,0,14,5,0,12,97
Thamesford District Recreation Centre - ON,4,0,14,9,4,14,95
Summerland Arena - BC,7,0,6,4,0,11,92
Ingersoll & District Memorial Centre - ON,4,1,10,7,4,10,91
Rapid City community complex - MB,6,0,5,2,10,7,87
Complexe Sportif De St-Louis-De-France Inc - QC,2,0,14,4,20,7,86
Walpole Island Complex - ON,3,0,15,2,1,7,78
Welland Main Arena - ON,2,0,17,4,2,9,77
Knights Of Columbus Twin Arenas - AB,5,0,6,9,0,13,77
De Salaberry Recreation Facility (St. Malo Arena) - MB,3,0,10,12,1,15,73
Chesterville and District Arena - ON,3,0,13,0,2,5,71
Taylor District Ice Center - BC,2,0,16,3,0,11,71
