Pos, Facility ID, Facility Name, Lat, Lng, Points
1, 11efd43abbf93d801185f98b382e2880,Trout Creek Community Centre,45.8738,-79.8846,9612
2, 11eec6d14ac47e803b8c60bfa00fa50e,Sackville Arena (LDRA),44.7765,-63.6854,7717
3, 11E9F686BBC16AC881807B23EA662A63,Honeywood Arena,44.2220857,-80.1906544,4666
4, 11eebe611aee6400ab522e1c8893781e,Bashaw Arena,53.0635,-112.3067,3761
5, 11eec3c710a41100315311e4bca003d9,Aréna Saint-Boniface,46.6996,-72.643,3753
6, 11E9F686BBE5876E81807B23EA662A63,Pete Knight Arena,51.4330735,-114.0267071,3635
7, 11eeb93e153ca1702c69dd2ca0e74e36,Middleton District Arena,44.6491,-65.5472,3102
8, 11efd8fea6725be01de11c081b7cd4f2,Centre Sportif Normandin,48.8892,-72.1938,2770
9, 11efd2207373cc90e380ca2cbefae445,Kaetlyn Osmond Arena,47.3597,-54.8984,1599
10, 11eeb58a5a55a2a0f1112a0ed8377bb3,Redvers rec centre,49.1895,-104.4374,1461
11, 11efcfb5e68b6520bdcfc1ab92c6ab2e,Rolling Hills Arena,49.8442,-110.78,1166
12, 11efcc6ac99fafa0e7a2eaed1f518a45,Fox Valley Skating Arena,50.3599,-108.5139,1111
13, 11efcd0ec344d8c0c9c270794469850f,Arborg & District Arena,50.7011,-97.1462,1082
14, 11eeb7f507c278c0b1606d36fb546664,Ivor MacDonald Memorial Arena,45.5808,-62.1969,986
15, 11eeb6f1e28da01042e125fd6b685c29,North Hastings Community Centre,44.8324,-77.9302,913
16, 11eecb532ee3cff0f1fea7566e99a3c7,Big River Arena,52.7586,-107.4669,803
17, d5512a67cdfc4608ac279365175fcd00,Haldimand Community Memorial Arena,43.9919702,-78.0310643,750
18, 11eebad347f099003d540cdb84e09cb8,Centre Sportif Charles-Edouard-Boucher,47.6525,-70.4067,749
19, 11E9F686BBE5AE1A81807B23EA662A63,Petitcodiac Arena,45.9330816,-65.1831219,698
20, 11eeb488d3a9da20bc289cffe14b7496,Oxbow Community Arena,49.1895,-104.4374,668
21, 11eeb9929af07e0041c78e2eb4d12f7a,Veterans Memorial Sports Complex,50.7011,-97.1462,655
22, 11EF745D92A71A20B4B8620607786234,St. Isidore Recreation Centre,45.386260,-74.902264,621
23, 11efddc5dd2dd9402ba61fd19647b85e,Don Cruickshank Memorial Arena,50.65824749999999,-127.4437507,589
24, 11E9F686BBED0CFA81807B23EA662A63,Riverton Arena,50.9954076,-96.9997473,557
25, 11efd05236b741d08029d62c4a776558,Longlac Sportsplex,50.139,-89.0561,555
26, 11E9F686BBCBCC4881807B23EA662A63,La Glace Recreation Centre,55.402089,-119.1543859,505
27, 11eecb02c0216050305bc32b29dd71df,North Peace Arena,56.2306,-120.8277,470
28, 11E9F686BBBC681681807B23EA662A63,Greenwood Arena,42.878329,-82.15554700000001,461
29, 11efd22efdcddb70aa25cfa7687d2aa4,Ron Gorr Memorial Arena,52.0306,-113.9565,396
30, 11efd4eae8c401503acc7126751bba6f,Delburne AG Arena,52.0306,-113.9565,388
31, 11E9F686BB7584B481807B23EA662A63,8th Hussars Sports Center,45.723647,-65.502348,386
32, 11eeb7e2fe6974c09c016cc0a60704ac,Frank Crane Arena,49.2079,-123.979,375
33, 11eeb8c4f3352030b590a61d8226fed8,Springdale Stadium and Curling Club,49.5959,-55.6739,352
34, 11E9F686BB87F91481807B23EA662A63,Athens Community Centre Centre 76,44.6322684,-75.9539849,348
35, 11efce8c9f28cfd02e5ea2749db3bae8,Kingston Memorial Centre,44.2322,-76.4799,338
36, 11eeb9609bd28c50a173d25df9263a83,Unity Parc Arena,47.7609,-53.9834,325
37, 11E9F686BBEB399881807B23EA662A63,Redwood Meadows Arena,50.9911032,-114.4992362,303
38, 11eeb28b1e853a30ffa2ce4b52231f7b,Kinistino sports complex,52.7586,-107.4669,291
39, 11eec20786a453e0099eb8493d090fb9,Kaslo arena,49.7332,-116.913,278
40, 11eec6f3b6b67ef0b4beebf0dc85c2b2,Arena De Clarence Creek,45.1953,-76.1496,259
41, 11eeb86ad118030047158bd465a9cd46,Brooke-Alvinston-Inwood Community Centre Complex,42.7967,-81.7938,255
42, 11eebf3760b00940ffe304762d2bb666,Irma Arena,53.0635,-112.3067,251
43, 11efc94cfaa4171050876939db7c4873,Moosonee Arena,52.923,-82.4173,251
44, 11efcc66abe09f50fbb368fdafdeb6ca,Cupar Memorial Rink,51.3669,-105.9973,249
45, 11eebf00b2768100c91eac76a462c52c,Elm Creek Skating Rink,49.0698,-98.7619,236
46, 11eebe55089c4260111c17e9259caa6a,Goulds Arena,47.462,-52.7895,233
47, 11efcef1fb67d1a0afa669bb60f5a7ad,Eleanor Pew Memorial Arena,45.1458,-61.8108,233
48, 11efcdc03bc8b940ce1cd676788d51ff,Bill Chaplin Arena,53.5329,-64.0145,228
49, 11efdde64b0b40e0ca9a7a266d507e82,Sam Ault Arena,45.1299843,-75.3590755,222
50, 11efd6019365d310971c42873a24eb89,John Levi Community Centre,45.1953,-76.1496,216
51, 11efcf75483809902bd90ec1517cab1c,Memorial Community Centre Arena,49.7318,-112.6171,213
52, 11eeb94b0a9f1e707a50d372baf5b339,Walkerton Community Centre,43.8567,-81.4023,202
53, 11eebda934364a803381ba5d7c9248c4,Cremona Ag Society Community Arena,52.0306,-113.9565,198
54, 11eeb6f3ef437df0634f81fa6d7292d2,Coldwater Arena,44.6072,-79.6291,191
55, b14065f8a04f49af8eb79de468077cd4,I J Coady Memorial Arena,46.64023299999999,-81.39035799999999,190
56, 11efcc61799f45f0337d822e4932bf4e,Ville De Bouctouche Forum,46.4171,-64.9241,185
57, 11E9F686BB9CD3E881807B23EA662A63,Centre récréatif de Donnacona,46.6787327,-71.7299194,183
58, 11E9F686BB81FFAA81807B23EA662A63,Aréna Jean Rougeau,45.5154982,-73.2929275,174
59, 11E9F686BBF63B4A81807B23EA662A63,South Courtice Arena,43.8876797,-78.7931319,174
60, 11efd1e8664880205b118712b95eceb6,Archie Miller Arena,53.2786,-110.0233,168
61, 11efde3afa45e9d0516367953137c4c9,Marmora Arena,44.5384894,-77.682665,162
62, 11E9F686BBCA410281807B23EA662A63,Kings Arrow Arena,45.8457819,-66.4936031,159
63, 11eebaed463332c0bbdb434aa3eb12d2,Civic Centre Arena,43.1277,-80.7743,153
64, 11efd8c3f0f1b75085346d6e65b3d095,Wilfred T Lipton Arena,55.8244,-98.8348,152
65, 11efd4f031d4e490fae299e67c87685a,Bienfait Memorial Arena,49.1895,-104.4374,149
66, 11efcd1057a003904627c103b195fc0a,Sangudo Arena,53.8486,-114.4361,141
67, 11eec5e85326a470f60b4a810ad1314f,Jim Ciccone Civic Centre,54.3146,-130.3413,139
68, 11E9F686BBC7D3B881807B23EA662A63,Jus Jordan Arena,48.7614073,-80.682553,138
69, 11eeca8cd68533b0e6f0f01529983a7c,Hespeler Memorial Arena,43.4317,-80.3112,132
70, 11E9F686BBD3470C81807B23EA662A63,Marystown Arena,47.1653001,-55.1619526,119
71, 11efde8833a3670051d225be9f444f95,Orville Acres Arena,50.4275,-95.3439,119
72, 11eeb616171bd5e0ceb6edfcfeb91bd6,Grandview Agricultural Community Centre,52.4175,-100.9577,118
73, 11efcdd84450f100620f665327d1f7b1,Saxon Family Community Complex,49.1895,-104.4374,117
74, 11eebbdd59db60e0838dd72fc536eca8,Soo Pee Wee Arena,46.5105,-84.321,108
75, 11efcc743431db507989d6c33ba8c77f,Al Lawrence Memorial Arena,54.7992,-130.0782,106
76, 11E9F686BBECB2BE81807B23EA662A63,River Valley Civic Centre,46.7487471,-67.6992837,105
77, 11efdcb2fb4865d031e479e5767dddb8,Manitouwadge arena ,50.139,-89.0561,102
78, 11eebacd58e4b670787233ee30ba0aa6,Centre Sportif C E Boucher,47.6525,-70.4067,96
79, 11eeb6222b688f00ac245cf23d9a366b,Summerland Arena,49.2357,-119.0117,92
80, 11eeb7d13a5486d0e48139ff267392bd,Kachur Wealth Community Arena,52.807,-105.3626,92
81, 11eeb6da2c720620a837bc41071a607e,Thamesford District Recreation Centre,43.5651,-81.6986,91
82, 11eeb6f6ce9e1260f845c99fc6a31ba3,Manvers Arena & Community Centre,44.1836,-78.5563,91
83, 11eeca22dde18fb0d59351ed89cc1736,Beausejour Sportsplex,50.4275,-95.3439,87
84, 11efcd34d2eaa0401431a7d1d2ed686b,Kyle Community Sports Centre,51.2296,-108.702,82
85, 11E9F686BBC3FD1A81807B23EA662A63,Inch Park Arena,43.237403,-79.8591217,80
86, 11efd287b441e5104101740a70dd5205,Rapid City community complex,49.0694,-99.527,77
87, 11efddddfbf84f008dbc4d6ce46696f3,Knights Of Columbus Twin Arenas,53.6202,-113.543,77
88, 11E9F686BBC445CC81807B23EA662A63,Ingersoll & District Memorial Centre,43.0409517,-80.8822876,72
89, 11efd08efc6585e0c766955230151d67,Taylor District Ice Center,56.2478,-120.8491,71
90, aa1085f1858f4424ab5421ecadadf611,Capreol Community Centre and Arena,46.7029179,-80.919747,67
91, 11eeb550f50e99d0a6ce5f21b411b73a,Scott Safety Centre - Whitecourt Twin Arenas,54.1407,-115.6873,66
92, 11efd5095f3e38f0e9beec3e86c7d857,Geraldton Community Centre,50.139,-89.0561,66
93, 11eeb6096e308ae030fc3b42da6a5268,Welland Main Arena,42.9859,-79.2232,62
94, 11eeb71ac96842b0fac784089a0e2451,Ko Gocho Centre (Sportsplex) - Arena,62.4043,-110.7417,62
95, 11eebae8b7159cd08e501c76a8afd944,Town of Innisfail Twin Arena,52.029,-113.9474,62
96, 11eeb89115d148f0db0f21b7ada3a2e3,Iceberg Arena,49.4536,-54.1045,59
97, 11efcf3a8c8ae3a0ec51ee846fecd2c2,Richmond Arena,45.5148,-60.966,59
98, 11efe4f7b02710e0e8e7ce61c8f9fc3e,Chesterville and District Arena,45.06902849999999,-75.18573669999999,57
99, 11eebaf3374e9460a96867f16dd0bcf4,Fort Erie Leisureplex,42.8845,-78.9398,56
100, 11efe3dfc2764e00e8ef628c85420cbf,St Boniface,46.6996,-72.643,53
101, 11E9F686BBBE293081807B23EA662A63,Harman Park Arena,43.8773963,-78.845969,52
102, 11eebe335f9d54e0d7e170fe496608ae,St Martins 4 Season Complex,45.3849,-65.6331,52
103, 11eeb6f69b539420326a661f0ee49686,Harrow Arena,42.2932,-82.7075,51
104, 11eebaea1c7a3a304a96c814ae9dcd7d,Powell River Recreation Complex,49.8021,-124.5124,51
105, 11eec481dbe07650f8bca776dfb428f4,Harry O. Memorial Arena,49.1895,-104.4374,50
106, 11eeb93ad73376e01ed4b59cddd96988,Boundary Expo Recreation Centre,49.2357,-119.0117,47
107, 11eeba505ce29fd0336b7d0106883455,Ray Twinney Recreation Complex,44.0414,-79.4534,47
108, 11efcd3bdaf2bb40f1c5d0ce7eabb7b3,Complexe Sportif De St-Louis-De-France Inc,46.4024,-72.5846,47
109, 11E9F686BBE111DE81807B23EA662A63,Onoway Arena,53.7069476,-114.1929874,46
110, 11eeb743163d9310c999633b382e6569,Aldershot Arena,43.3018,-79.8497,46
111, 11eeb7664c770600c33f81f42a252b79,Hepburn Arena,52.807,-105.3626,46
112, 11efcd745b1778a07c5edeb709174625,Didsbury Memorial Complex Arena,52.0306,-113.9565,45
